model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
long_range,1.75,64,1.565,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-114.1312297957176,,,1.6168216461664997e-5,,1.2412324502030557e-9,,,4.527700436796067e-11,0.33399908144304896,,,,,,,598.8101019859314,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.44,64,12,26,"{""max_absolute"":3.1881164375135995e-12,""max_relative"":2.1688410609001813e-9,""rms_relative"":1.037366766481375e-9}",-53.42591789599641,,,2.3780239644111134e-7,,8.331289812161231e-11,,,1.0854650511760155e-12,0.32731159734114756,,,,,,,237.9345190525055,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.38,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.051634793157966,,,2.410993147350382e-7,,8.898713569449288e-11,,,1.6293633109398797e-12,0.4585893348228571,,,,,,,247.27514004707336,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.44,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.42591789285903,,,2.3779239199939184e-7,,8.330939312452467e-11,,,1.0866862965031032e-12,0.32731159709353513,,,,,,,272.53479194641113,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.415,128,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-105.62535791093038,,,1.4018951333127916e-7,,1.2565481669813678e-11,,,1.4197532038906502e-12,0.392432325398447,,,,,,,614.8981988430023,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.56395,128,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.079059468985015,,,1.5338628145400435e-9,,4.707961495866725e-13,,,1.8093393450158146e-10,0.33776458389862934,,,,,,,305.0376489162445,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.52,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-112.00411844966924,,,1.624462856852915e-5,,1.2949166090255189e-9,,,2.2435941993137476e-11,0.5015725388206713,,,,,,,22864.81197285652,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.56,64,12,26,"{""max_absolute"":4.722298940773584e-12,""max_relative"":1.7332795807236662e-9,""rms_relative"":7.178614507620418e-10}",-56.98348597293792,,,3.7024665289209224e-7,,1.1402317073357393e-10,,,1.4014345239843351e-12,0.3442230574990472,,,,,,,250.2987310886383,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,16,0.98,64,,4,,-20.20392096883627,,,5.950653303443687e-9,,1.45778449284068e-11,,,5.751926712704858e-10,0.44248633056118,-20.203920969723292,-20.12523244029763,0.07868852942566207,0.44246964758111085,4.390337085410727e-11,1.668298006912705e-5,204.04666590690613,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.45,64,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.885266789262396,,,1.20508047984913e-10,,1.6671986533189306e-13,,,6.1627369873917814e-12,0.32907579891884153,-26.885266789269274,-25.465295096265095,1.4199716930041788,0.32907579893859157,2.558298467360945e-13,1.9750034940813066e-11,220.78747296333313,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.555,128,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.86303226957106,,,1.6175363271031529e-9,,5.002579657675918e-13,,,6.439293542825908e-15,0.35262900333497993,,,,,,,317.7344460487366,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.56,64,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.559678068409337,,,1.9940671336371452e-10,,2.4447427121626056e-13,,,5.5571103274587585e-12,0.33818350325967284,-28.559678068415508,-26.95498241537553,1.604695653039979,0.33818350328063584,2.1607609320012342e-13,2.096300910636728e-11,229.52336597442627,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,24,1.42,64,16,34,"{""max_absolute"":1.3103074181231023e-11,""max_relative"":1.3420947604436945e-10,""rms_relative"":4.667881506728346e-11}",-39.73921228172662,,,2.4021119315875694e-8,,1.52108937255252e-11,,,1.184607967275042e-13,0.3632043132498415,,,,,,,223.75538396835327,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.6,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.96737089137916,,,4.079113841726212e-5,,1.2139439056381717e-8,,,8.443001853208898e-10,0.28594470074861267,,,,,,,206.78314208984375,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.567,128,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-114.2284810077962,,,2.3900793166831136e-7,,1.8317386545815522e-11,,,1.5958345755962e-12,0.3280489406060561,,,,,,,636.206020116806,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,32,0.98,64,,4,,-40.36057197807244,,,3.3624019124545157e-9,,2.0641202733388206e-12,,,3.2818192607919627e-13,0.48033588623247203,,,,,,,215.30297899246216,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.54,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.50527699590428,,,3.798841134994291e-7,,1.189797674013694e-10,,,1.3751222383007189e-12,0.3794046329630111,,,,,,,246.50128412246704,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.02,64,,4,,-20.61194628981431,,,9.425150437891716e-9,,2.218453277901629e-11,,,3.5563929579041087e-10,0.36368502777478307,-20.61194629071758,-20.491320569412157,0.12062572130542293,0.3636762012572984,4.3822661609323626e-11,8.82651748468355e-6,207.230535030365,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.58,64,12,26,"{""max_absolute"":1.9563988519488706e-9,""max_relative"":2.7012645553327474e-7,""rms_relative"":1.0146514055660403e-7}",-114.86581054043852,,,1.473481097491458e-5,,1.116768115141186e-9,,,4.0328629324903886e-11,0.2926004909312502,,,,,,,288.9239978790283,486b2673baa11d44a1048fbf9fd36751189889d7
